Transaction_ID,Transaction_Date,Customer_ID,Customer_Name,Gender,Age,City,Product_Category,Product,Quantity,Unit_Price,Discount_Percentage,Payment_Method,Gross_Sales,Discount_Amount,Net_Sales
TXN16828,2024-12-01,CUST1166,Kavya Yadav,Female,24,Ahmedabad,Groceries,Flour (10 kg),1,350.26,19.53,Credit Card,350.26,68.41,281.85
TXN10506,2024-07-13,CUST1158,Anjali Bose,Female,50,Jaipur,Groceries,Flour (10 kg),9,548.79,25.35,Wallet,4939.11,1252.06,3687.05
TXN12038,2024-10-23,CUST1133,Suresh Bose,Male,58,Delhi,Beauty,Sunscreen,9,779.13,13.32,Wallet,7012.17,934.02,6078.15
TXN15187,2024-03-12,CUST1055,Riya Yadav,Female,62,Surat,Electronics,Smartwatch,4,17750.97,11.69,Credit Card,71003.88,8300.35,62703.53
TXN16343,2024-12-23,CUST1027,Neha Reddy,Female,19,Kolkata,Beauty,Shampoo,2,299.61,22.4,Credit Card,599.22,134.23,464.99
TXN15260,2024-02-26,CUST1093,Ishaan Reddy,Male,52,Bangalore,Toys,Puzzle Set,7,984.79,1.32,Debit Card,6893.53,90.99,6802.54
TXN12781,2024-11-16,CUST1186,Nisha Joshi,Female,29,Hyderabad,Books,Comic Book,1,307.16,13.62,Wallet,307.16,41.84,265.32
TXN18739,2024-10-13,CUST1178,Vikram Singh,Male,47,Pune,Home & Kitchen,Curtains,5,1145.32,8.48,UPI,5726.6,485.62,5240.98
TXN12593,2024-02-21,CUST1023,Krishna Shah,Male,34,Hyderabad,Beauty,Face Cream,7,653.78,10.6,Net Banking,4576.46,485.1,4091.36
TXN12463,2024-12-17,CUST1068,Arjun Nair,Male,44,Delhi,Clothing,Jacket,4,4105.3,18.1,UPI,16421.2,2972.24,13448.96
TXN14881,2024-11-29,CUST1087,Diya Mehta,Female,27,Pune,Toys,Board Game,3,1609.89,11.34,Cash,4829.67,547.68,4281.99
TXN12116,2024-06-23,CUST1198,Rahul Gupta,Male,40,Kolkata,Groceries,Sugar (5 kg),3,172.73,14.53,Credit Card,518.19,75.29,442.9
TXN12120,2024-02-15,CUST1035,Vihaan Chaudhary,Male,35,Jaipur,Electronics,Tablet,1,36532.87,1.27,Credit Card,36532.87,463.97,36068.9
TXN15586,2024-07-27,CUST1135,Geeta Sharma,Female,45,Surat,Books,Fiction Novel,2,595.84,8.91,Credit Card,1191.68,106.18,1085.5
TXN13557,2024-04-08,CUST1016,Arjun Patel,Male,49,Pune,Home & Kitchen,Pressure Cooker,6,2029.9,26.55,Cash,12179.4,3233.63,8945.77
TXN18131,2024-05-10,CUST1098,Ananya Bose,Female,31,Kolkata,Electronics,Smartwatch,9,11906.13,24.01,Debit Card,107155.17,25727.96,81427.21
TXN17041,2024-08-11,CUST1117,Aarav Sharma,Male,29,Surat,Sports,Cricket Bat,9,3676.09,5.77,Wallet,33084.81,1908.99,31175.82
TXN18340,2024-03-18,CUST1084,Pooja Patel,Female,24,Surat,Home & Kitchen,Mixer Grinder,5,2402.59,1.23,Debit Card,12012.95,147.76,11865.19
TXN10295,2024-09-12,CUST1142,Reyansh Kumar,Male,51,Hyderabad,Toys,Board Game,1,952.94,0.99,UPI,952.94,9.43,943.51
TXN13507,2024-06-27,CUST1194,Saanvi Tiwari,Female,47,Jaipur,Electronics,Smartphone,2,28341.38,12.4,Net Banking,56682.76,7028.66,49654.1
TXN14764,2024-04-26,CUST1165,Kavya Patel,Female,57,Mumbai,Books,Textbook,3,870.82,21.91,Cash,2612.46,572.39,2040.07
TXN15160,2024-03-11,CUST1149,Pihu Rao,Female,40,Hyderabad,Beauty,Lipstick,1,610.24,28.4,Net Banking,610.24,173.31,436.93
TXN12511,2024-09-27,CUST1040,Rahul Shah,Male,48,Surat,Sports,Football,7,718.78,19.01,Wallet,5031.46,956.48,4074.98
TXN18069,2024-06-08,CUST1006,Nisha Pandey,Female,36,Kolkata,Electronics,Tablet,1,17583.41,27.13,Net Banking,17583.41,4770.38,12813.03
TXN10957,2024-11-28,CUST1192,Meera Srivastava,Female,29,Hyderabad,Home & Kitchen,Pressure Cooker,9,2085.58,27.55,Net Banking,18770.22,5171.2,13599.02
TXN15680,2024-12-16,CUST1156,Suresh Singh,Male,56,Kolkata,Home & Kitchen,Pressure Cooker,5,987.55,21.09,Debit Card,4937.75,1041.37,3896.38
TXN10594,2024-02-20,CUST1084,Priya Verma,Female,18,Ahmedabad,Beauty,Lipstick,10,635.73,21.3,Net Banking,6357.3,1354.1,5003.2
TXN19758,2024-12-04,CUST1036,Reyansh Kumar,Male,58,Mumbai,Electronics,Tablet,8,15878.37,18.23,Wallet,127026.96,23157.01,103869.95
TXN14565,2024-04-23,CUST1073,Vikram Shah,Male,60,Surat,Sports,Cricket Bat,1,3362.51,23.0,Net Banking,3362.51,773.38,2589.13
TXN14558,2024-09-29,CUST1041,Saanvi Pandey,Female,42,Delhi,Groceries,Pulses (1 kg),4,83.52,20.32,Debit Card,334.08,67.89,266.19
TXN18896,2024-04-10,CUST1134,Amit Tiwari,Male,47,Ahmedabad,Electronics,Earphones,4,2985.51,25.49,UPI,11942.04,3044.03,8898.01
TXN15213,2024-08-31,CUST1150,Suresh Singh,Male,50,Kolkata,Sports,Cricket Bat,9,1646.65,5.55,Wallet,14819.85,822.5,13997.35
TXN14149,2024-07-11,CUST1100,Pooja Reddy,Female,31,Delhi,Groceries,Sugar (5 kg),3,203.69,11.57,UPI,611.07,70.7,540.37
TXN15073,2024-02-26,CUST1013,Ananya Agarwal,Female,42,Chennai,Groceries,Pulses (1 kg),4,86.95,1.33,Debit Card,347.8,4.63,343.17
TXN17046,2024-05-09,CUST1017,Pihu Srivastava,Female,65,Kolkata,Beauty,Face Cream,3,440.57,7.61,UPI,1321.71,100.58,1221.13
TXN19462,2024-02-24,CUST1131,Vivaan Mehta,Male,57,Hyderabad,Books,Textbook,6,1130.55,1.29,Wallet,6783.3,87.5,6695.8
TXN18778,2024-08-26,CUST1161,Anjali Singh,Female,46,Hyderabad,Books,Comic Book,2,250.82,12.52,UPI,501.64,62.81,438.83
TXN16608,2024-06-01,CUST1171,Aadhya Agarwal,Female,25,Ahmedabad,Home & Kitchen,Mixer Grinder,8,1871.37,23.43,Wallet,14970.96,3507.7,11463.26
TXN10853,2024-03-29,CUST1122,Vikram Yadav,Male,56,Delhi,Books,Self-Help Book,8,266.13,12.19,Credit Card,2129.04,259.53,1869.51
TXN11168,2024-11-05,CUST1171,Saanvi Shah,Female,44,Pune,Electronics,Tablet,6,16907.12,13.91,Net Banking,101442.72,14110.68,87332.04
TXN19681,2024-10-07,CUST1051,Arjun Verma,Male,42,Surat,Clothing,Women's Kurti,8,1012.17,2.97,Cash,8097.36,240.49,7856.87
TXN17473,2024-10-23,CUST1055,Aadhya Singh,Female,48,Pune,Books,Self-Help Book,10,660.35,4.1,Debit Card,6603.5,270.74,6332.76
TXN14143,2024-08-04,CUST1028,Sunita Sharma,Female,37,Chennai,Toys,Board Game,9,1137.59,1.6,Cash,10238.31,163.81,10074.5
TXN10346,2024-07-11,CUST1101,Pooja Verma,Female,32,Delhi,Toys,Remote Car,4,1729.29,10.14,UPI,6917.16,701.4,6215.76
TXN12937,2024-06-06,CUST1162,Pooja Joshi,Female,45,Delhi,Toys,Doll,8,641.57,15.83,Net Banking,5132.56,812.48,4320.08
TXN14093,2024-11-24,CUST1148,Sunita Rao,Female,27,Mumbai,Home & Kitchen,Pressure Cooker,2,2420.82,24.4,Wallet,4841.64,1181.36,3660.28
TXN11496,2024-08-14,CUST1003,Vikram Pandey,Male,40,Hyderabad,Sports,Badminton Set,6,603.34,16.82,Cash,3620.04,608.89,3011.15
TXN19937,2024-10-26,CUST1180,Sneha Chaudhary,Female,41,Surat,Groceries,Cooking Oil,4,278.67,29.01,Wallet,1114.68,323.37,791.31
TXN10423,2024-03-21,CUST1064,Sai Tiwari,Male,62,Pune,Home & Kitchen,Water Bottle,2,456.57,2.38,Credit Card,913.14,21.73,891.41
TXN18123,2024-11-15,CUST1007,Deepak Patel,Male,50,Bangalore,Books,Self-Help Book,2,553.53,15.48,UPI,1107.06,171.37,935.69
TXN15668,2024-06-17,CUST1171,Saanvi Mishra,Female,60,Jaipur,Books,Self-Help Book,2,496.48,19.68,Wallet,992.96,195.41,797.55
TXN14315,2024-01-27,CUST1182,Vikram Pandey,Male,22,Kolkata,Beauty,Lipstick,10,265.96,13.86,Debit Card,2659.6,368.62,2290.98
TXN17638,2024-08-24,CUST1150,Vikram Patel,Male,34,Ahmedabad,Clothing,Jeans,8,2232.73,21.66,Cash,17861.84,3868.87,13992.97
TXN19440,2024-10-17,CUST1041,Rahul Agarwal,Male,49,Bangalore,Groceries,Flour (10 kg),4,511.82,15.49,UPI,2047.28,317.12,1730.16
TXN11260,2024-07-29,CUST1199,Geeta Bose,Female,42,Ahmedabad,Home & Kitchen,Mixer Grinder,2,2964.68,12.51,Wallet,5929.36,741.76,5187.6
TXN13935,2024-03-18,CUST1173,Sneha Singh,Female,32,Delhi,Clothing,Women's Kurti,4,1318.8,29.84,Credit Card,5275.2,1574.12,3701.08
TXN11504,2024-06-02,CUST1038,Ananya Nair,Female,44,Chennai,Books,Children Book,9,288.32,18.73,Wallet,2594.88,486.02,2108.86
TXN10157,2024-05-03,CUST1192,Ishaan Verma,Male,48,Bangalore,Toys,Puzzle Set,5,1069.22,29.68,Debit Card,5346.1,1586.72,3759.38
TXN13041,2024-05-03,CUST1074,Arjun Tiwari,Male,26,Jaipur,Books,Fiction Novel,6,396.75,5.75,Net Banking,2380.5,136.88,2243.62
TXN14431,2024-01-16,CUST1021,Ayaan Verma,Male,23,Surat,Clothing,Jacket,2,1984.48,22.54,Debit Card,3968.96,894.6,3074.36
TXN16975,2024-11-16,CUST1158,Rajesh Pandey,Male,33,Mumbai,Clothing,Women's Kurti,10,1589.42,14.72,Credit Card,15894.2,2339.63,13554.57
TXN12211,2024-05-21,CUST1156,Arjun Rao,Male,47,Chennai,Home & Kitchen,Bedsheet Set,2,1633.93,0.0,UPI,3267.86,0.0,3267.86
TXN16347,2024-06-29,CUST1002,Riya Patel,Female,65,Kolkata,Home & Kitchen,Mixer Grinder,1,3196.47,3.43,Net Banking,3196.47,109.64,3086.83
TXN10259,2024-03-04,CUST1027,Vikram Patel,Male,38,Surat,Toys,Remote Car,3,1304.05,21.57,Net Banking,3912.15,843.85,3068.3
TXN17183,2024-07-13,CUST1078,Priya Tiwari,Female,39,Surat,Home & Kitchen,Water Bottle,1,265.98,25.13,Net Banking,265.98,66.84,199.14
TXN10678,2024-09-19,CUST1195,Aadhya Chaudhary,Female,33,Delhi,Sports,Yoga Mat,3,1126.01,22.73,Wallet,3378.03,767.83,2610.2
TXN18857,2024-04-20,CUST1009,Amit Srivastava,Male,53,Pune,Groceries,Flour (10 kg),2,490.11,0.32,UPI,980.22,3.14,977.08
TXN11517,2024-03-26,CUST1029,Sai Verma,Male,28,Surat,Home & Kitchen,Curtains,10,641.63,19.08,UPI,6416.3,1224.23,5192.07
TXN11963,2024-11-25,CUST1117,Vivaan Patel,Male,63,Kolkata,Beauty,Face Cream,10,793.54,1.97,Debit Card,7935.4,156.33,7779.07
TXN17747,2024-07-08,CUST1038,Arjun Srivastava,Male,25,Mumbai,Groceries,Rice (5 kg),10,297.62,2.64,Credit Card,2976.2,78.57,2897.63
TXN13092,2024-09-10,CUST1152,Sneha Verma,Female,28,Delhi,Groceries,Pulses (1 kg),1,94.04,10.82,Wallet,94.04,10.18,83.86
TXN16030,2024-08-08,CUST1098,Aadhya Kumar,Female,37,Bangalore,Books,Children Book,9,396.63,13.72,Credit Card,3569.67,489.76,3079.91
TXN18074,2024-01-27,CUST1111,Suresh Yadav,Male,19,Mumbai,Electronics,Laptop,8,52911.68,16.82,Wallet,423293.44,71197.96,352095.48
TXN10805,2024-10-13,CUST1189,Anjali Singh,Female,30,Surat,Books,Textbook,6,948.36,0.21,Net Banking,5690.16,11.95,5678.21
TXN11732,2024-10-17,CUST1162,Rajesh Bose,Male,45,Delhi,Toys,Board Game,6,818.41,1.1,UPI,4910.46,54.02,4856.44
TXN15870,2024-02-06,CUST1071,Riya Chaudhary,Female,41,Kolkata,Groceries,Sugar (5 kg),4,265.11,0.48,Net Banking,1060.44,5.09,1055.35
TXN11026,2024-09-24,CUST1112,Ishaan Reddy,Male,40,Ahmedabad,Books,Self-Help Book,3,556.13,7.95,Net Banking,1668.39,132.64,1535.75
TXN15247,2024-07-29,CUST1087,Meera Rao,Female,55,Pune,Beauty,Face Cream,6,738.73,6.17,Wallet,4432.38,273.48,4158.9
TXN10035,2024-03-11,CUST1096,Vihaan Mehta,Male,39,Surat,Groceries,Pulses (1 kg),6,142.83,18.17,Cash,856.98,155.71,701.27
TXN19698,2024-09-08,CUST1049,Geeta Patel,Female,31,Mumbai,Toys,Doll,1,658.15,29.04,Wallet,658.15,191.13,467.02
TXN18943,2024-02-06,CUST1075,Ishaan Sharma,Male,35,Chennai,Electronics,Laptop,4,63188.78,2.01,Net Banking,252755.12,5080.38,247674.74
TXN13559,2024-03-28,CUST1057,Anjali Agarwal,Female,34,Mumbai,Beauty,Face Cream,5,780.26,9.1,UPI,3901.3,355.02,3546.28
TXN10555,2024-08-15,CUST1027,Saanvi Rao,Female,21,Bangalore,Home & Kitchen,Mixer Grinder,7,2033.62,8.43,Cash,14235.34,1200.04,13035.3
TXN14609,2024-04-04,CUST1057,Kavya Bose,Female,32,Ahmedabad,Home & Kitchen,Pressure Cooker,8,1389.44,5.89,Debit Card,11115.52,654.7,10460.82
TXN12352,2024-01-07,CUST1186,Aarav Reddy,Male,21,Bangalore,Sports,Dumbbells,2,1048.11,0.03,Wallet,2096.22,0.63,2095.59
TXN19612,2024-04-13,CUST1172,Deepak Tiwari,Male,34,Hyderabad,Groceries,Rice (5 kg),8,303.57,20.62,UPI,2428.56,500.77,1927.79
TXN12039,2024-08-29,CUST1104,Sneha Joshi,Female,47,Mumbai,Clothing,Men's T-Shirt,3,617.62,10.14,Cash,1852.86,187.88,1664.98
TXN12746,2024-02-20,CUST1003,Neha Verma,Female,38,Hyderabad,Toys,Board Game,10,850.15,4.36,Credit Card,8501.5,370.67,8130.83
TXN13587,2024-01-01,CUST1152,Lakshmi Patel,Female,18,Chennai,Home & Kitchen,Bedsheet Set,8,1483.41,5.19,Wallet,11867.28,615.91,11251.37
TXN18097,2024-06-28,CUST1185,Pihu Yadav,Female,64,Kolkata,Electronics,Laptop,5,62779.21,17.39,Net Banking,313896.05,54586.52,259309.53
TXN16155,2024-10-16,CUST1056,Rahul Yadav,Male,56,Hyderabad,Clothing,Saree,4,2313.77,4.02,Credit Card,9255.08,372.05,8883.03
TXN13897,2024-04-06,CUST1005,Amit Gupta,Male,33,Chennai,Clothing,Jacket,5,2240.18,24.22,UPI,11200.9,2712.86,8488.04
TXN19354,2024-03-18,CUST1117,Suresh Joshi,Male,45,Chennai,Home & Kitchen,Mixer Grinder,1,1516.97,23.42,Debit Card,1516.97,355.27,1161.7
TXN10497,2024-10-30,CUST1149,Geeta Yadav,Female,44,Mumbai,Home & Kitchen,Curtains,6,1384.6,14.58,Debit Card,8307.6,1211.25,7096.35
TXN13400,2024-01-14,CUST1049,Vikram Pandey,Male,31,Jaipur,Clothing,Jeans,9,1037.96,24.77,Wallet,9341.64,2313.92,7027.72
TXN12590,2024-08-31,CUST1157,Ananya Reddy,Female,24,Surat,Electronics,Tablet,6,30241.51,1.86,Wallet,181449.06,3374.95,178074.11
TXN19294,2024-08-31,CUST1145,Neha Sharma,Female,26,Chennai,Clothing,Jeans,2,913.47,10.74,Debit Card,1826.94,196.21,1630.73
TXN10055,2024-09-24,CUST1191,Saanvi Agarwal,Female,41,Mumbai,Sports,Badminton Set,4,1768.25,19.7,Cash,7073.0,1393.38,5679.62
TXN10194,2024-10-05,CUST1110,Ishaan Tiwari,Male,57,Ahmedabad,Toys,Remote Car,2,1503.61,2.42,Net Banking,3007.22,72.77,2934.45
TXN10484,2024-12-14,CUST1104,Diya Tiwari,Female,44,Pune,Beauty,Perfume,10,878.11,7.46,Net Banking,8781.1,655.07,8126.03
TXN18925,2024-02-14,CUST1004,Suresh Nair,Male,21,Jaipur,Home & Kitchen,Bedsheet Set,8,712.14,29.48,UPI,5697.12,1679.51,4017.61
TXN19979,2024-03-30,CUST1113,Aditya Srivastava,Male,47,Delhi,Electronics,Tablet,6,34174.18,22.46,Cash,205045.08,46053.12,158991.96
TXN11247,2024-04-13,CUST1194,Riya Yadav,Female,62,Bangalore,Toys,Remote Car,8,2166.05,24.84,Net Banking,17328.4,4304.37,13024.03
TXN12722,2024-03-31,CUST1046,Krishna Pandey,Male,54,Delhi,Clothing,Women's Kurti,2,1157.15,8.57,Credit Card,2314.3,198.34,2115.96
TXN16660,2024-07-13,CUST1018,Sneha Mehta,Female,42,Mumbai,Books,Children Book,9,320.78,2.12,Debit Card,2887.02,61.2,2825.82
TXN12356,2024-02-26,CUST1137,Neha Pandey,Female,52,Bangalore,Clothing,Women's Kurti,10,1698.73,0.29,Net Banking,16987.3,49.26,16938.04
TXN16842,2024-01-04,CUST1120,Rajesh Srivastava,Male,37,Mumbai,Home & Kitchen,Mixer Grinder,3,2362.54,3.49,Debit Card,7087.62,247.36,6840.26
TXN12388,2024-02-08,CUST1159,Pooja Joshi,Female,47,Hyderabad,Sports,Dumbbells,5,2387.39,22.88,UPI,11936.95,2731.17,9205.78
TXN11016,2024-09-04,CUST1199,Diya Patel,Female,57,Kolkata,Beauty,Perfume,5,1502.33,24.46,Credit Card,7511.65,1837.35,5674.3
TXN14264,2024-04-08,CUST1001,Kiran Mehta,Female,25,Hyderabad,Home & Kitchen,Curtains,5,711.54,27.43,Cash,3557.7,975.88,2581.82
TXN17848,2024-02-28,CUST1111,Reyansh Singh,Male,50,Bangalore,Home & Kitchen,Curtains,1,892.79,7.17,Credit Card,892.79,64.01,828.78
TXN17756,2024-07-10,CUST1109,Sneha Rao,Female,41,Pune,Groceries,Cooking Oil,5,390.79,25.38,Wallet,1953.95,495.91,1458.04
TXN19559,2024-07-25,CUST1067,Aadhya Mehta,Female,51,Bangalore,Sports,Dumbbells,1,1886.02,3.02,Debit Card,1886.02,56.96,1829.06
TXN15163,2024-09-21,CUST1121,Neha Bose,Female,34,Kolkata,Home & Kitchen,Curtains,9,1414.89,0.52,Credit Card,12734.01,66.22,12667.79
TXN11672,2024-10-20,CUST1055,Suresh Verma,Male,40,Kolkata,Clothing,Men's T-Shirt,9,913.82,20.3,Cash,8224.38,1669.55,6554.83
TXN15709,2024-10-04,CUST1200,Vikram Shah,Male,21,Hyderabad,Electronics,Earphones,1,4134.98,24.63,Cash,4134.98,1018.45,3116.53
TXN12404,2024-06-04,CUST1066,Lakshmi Nair,Female,62,Mumbai,Groceries,Pulses (1 kg),10,108.66,25.67,Wallet,1086.6,278.93,807.67
TXN13322,2024-01-12,CUST1109,Rahul Chaudhary,Male,61,Jaipur,Groceries,Flour (10 kg),6,584.45,23.2,UPI,3506.7,813.55,2693.15
TXN11920,2024-11-05,CUST1104,Aarav Kumar,Male,43,Surat,Sports,Cricket Bat,3,2760.44,5.5,UPI,8281.32,455.47,7825.85
TXN15062,2024-09-17,CUST1127,Vikram Sharma,Male,27,Mumbai,Sports,Cricket Bat,10,3649.95,4.41,Debit Card,36499.5,1609.63,34889.87
TXN16432,2024-11-05,CUST1193,Vikram Srivastava,Male,48,Delhi,Electronics,Smartphone,6,25092.76,25.35,Net Banking,150556.56,38166.09,112390.47
TXN10698,2024-10-03,CUST1175,Rajesh Joshi,Male,47,Hyderabad,Groceries,Rice (5 kg),3,281.32,21.19,UPI,843.96,178.84,665.12
TXN12740,2024-09-28,CUST1154,Sunita Yadav,Female,28,Jaipur,Toys,Remote Car,1,1647.61,5.64,UPI,1647.61,92.93,1554.68
TXN14148,2024-12-02,CUST1006,Rahul Singh,Male,64,Mumbai,Groceries,Flour (10 kg),2,410.92,1.41,Cash,821.84,11.59,810.25
TXN14336,2024-04-04,CUST1144,Rohit Chaudhary,Male,20,Delhi,Groceries,Pulses (1 kg),4,111.16,8.49,Wallet,444.64,37.75,406.89
TXN12537,2024-01-17,CUST1190,Aadhya Agarwal,Female,64,Jaipur,Toys,Remote Car,5,2875.24,16.97,Credit Card,14376.2,2439.64,11936.56
TXN14270,2024-03-01,CUST1136,Sai Mishra,Male,43,Ahmedabad,Toys,Doll,2,1111.78,0.98,Debit Card,2223.56,21.79,2201.77
TXN16665,2024-04-29,CUST1010,Aarav Mishra,Male,19,Chennai,Clothing,Jacket,1,3111.71,11.14,Debit Card,3111.71,346.64,2765.07
TXN13730,2024-04-10,CUST1048,Sneha Joshi,Female,21,Mumbai,Beauty,Sunscreen,5,310.28,17.8,Net Banking,1551.4,276.15,1275.25
TXN10459,2024-10-14,CUST1106,Vivaan Pandey,Male,62,Mumbai,Sports,Dumbbells,8,2471.91,20.25,Net Banking,19775.28,4004.49,15770.79
TXN16626,2024-11-26,CUST1045,Saanvi Mishra,Female,54,Surat,Groceries,Cooking Oil,6,235.85,11.95,Wallet,1415.1,169.1,1246.0
TXN17752,2024-10-26,CUST1190,Kavya Yadav,Female,19,Hyderabad,Toys,Action Figure,9,385.34,24.89,Debit Card,3468.06,863.2,2604.86
TXN16882,2024-07-14,CUST1068,Meera Mehta,Female,18,Jaipur,Sports,Cricket Bat,9,3051.14,19.22,Wallet,27460.26,5277.86,22182.4
TXN11793,2024-05-04,CUST1133,Ishaan Sharma,Male,61,Pune,Toys,Board Game,1,1890.13,6.16,Debit Card,1890.13,116.43,1773.7
TXN11932,2024-09-24,CUST1050,Meera Nair,Female,59,Hyderabad,Groceries,Cooking Oil,6,359.64,18.51,Credit Card,2157.84,399.42,1758.42
TXN11488,2024-02-19,CUST1103,Rahul Verma,Male,65,Ahmedabad,Beauty,Lipstick,8,583.32,21.49,Net Banking,4666.56,1002.84,3663.72
TXN14343,2024-03-09,CUST1029,Ayaan Kumar,Male,55,Hyderabad,Groceries,Cooking Oil,7,369.3,15.66,UPI,2585.1,404.83,2180.27
TXN19476,2024-10-15,CUST1044,Diya Verma,Female,54,Surat,Toys,Remote Car,2,2147.77,13.88,Credit Card,4295.54,596.22,3699.32
TXN15048,2024-12-07,CUST1083,Aarav Mehta,Male,37,Surat,Sports,Dumbbells,3,2798.48,23.87,UPI,8395.44,2003.99,6391.45
TXN17676,2024-11-06,CUST1038,Geeta Agarwal,Female,48,Delhi,Sports,Football,6,712.9,17.1,Net Banking,4277.4,731.44,3545.96
TXN15696,2024-09-17,CUST1160,Kavya Reddy,Female,55,Surat,Clothing,Jacket,1,4463.77,7.01,Credit Card,4463.77,312.91,4150.86
TXN17849,2024-04-11,CUST1118,Aadhya Bose,Female,49,Chennai,Beauty,Sunscreen,8,399.03,27.44,Debit Card,3192.24,875.95,2316.29
